,movie_id,movie,genre
96,0014429,Safety Last! (1923),Comedy|Thriller
97,0014497,Souls for Sale (1923),Comedy|Drama|Romance
98,0014532,The Ten Commandments (1923),Biography|Drama|Fantasy
99,0014538,Three Ages (1923),Comedy
100,0014624,A Woman of Paris: A Drama of Fate (1923),Drama|Romance
101,0014664,Alice's Spooky Adventure (1924),Animation|Short|Comedy
102,0014872,Entr'acte (1924),Short
103,0014972,He Who Gets Slapped (1924),Drama|Romance|Thriller
104,0015002,Hot Water (1924),Comedy
105,0015039,Kinoglaz (1924),Documentary
106,0015064,Der letzte Mann (1924),Drama
107,0015163,The Navigator (1924),Action|Comedy|Romance
108,0015174,Die Nibelungen: Kriemhilds Rache (1924),Adventure|Drama|Fantasy
109,0015175,Die Nibelungen: Siegfried (1924),Adventure|Drama|Fantasy
110,0015233,En piga bland pigor (1924),
111,0015310,The Sea Hawk (1924),Adventure|Drama|Romance
112,0015324,Sherlock Jr. (1924),Action|Comedy|Romance
113,0015361,Stachka (1925),Drama
114,0015400,The Thief of Bagdad (1924),Adventure|Family|Fantasy|Romance
115,0015477,West of Hot Dog (1924),Short|Western|Comedy
116,0015532,Die Abenteuer des Prinzen Achmed (1926),Animation|Adventure|Fantasy|Romance
117,0015624,The Big Parade (1925),Drama|Romance|War
118,0015648,Bronenosets Potyomkin (1925),Drama|History
119,0015673,Shakhmatnaya goryachka (1925),Comedy|Short
120,0015768,Du skal ære din hustru (1925),Drama
121,0015772,De adelaar (1925),Action|Comedy|Drama|History|Romance
122,0015864,The Gold Rush (1925),Adventure|Comedy|Drama|Family
123,0015881,Greed (1924),Drama|Thriller|Western
124,0016039,The Lost World (1925),Adventure|Fantasy|Sci-Fi
125,0016172,"Oh, Doctor! (1925)",Comedy
126,0016220,The Phantom of the Opera (1925),Horror
127,0016230,The Pleasure Garden (1925),Drama|Romance
128,0016332,Seven Chances (1925),Comedy|Romance
129,0016361,Smouldering Fires (1925),Drama
130,0016544,The Wizard of Oz (1925),Comedy|Family|Fantasy|Adventure
131,0016600,Along Came Auntie (1926),Comedy|Short
132,0016654,The Black Pirate (1926),Adventure|Action
133,0016747,Crazy Like a Fox (1926),Short|Comedy
134,0016847,Faust - Eine deutsche Volkssage (1926),Drama|Fantasy|Horror
135,0016903,45 Minutes from Hollywood (1926),Short|Comedy
136,016954,Hell's Four Hundred (1926),
137,0017075,The Lodger: A Story of the London Fog (1927),Crime|Drama|Mystery|Thriller
138,0017136,Metropolis (1927),Drama|Sci-Fi
139,0017196,Nana (1926),Drama|Romance
140,0017350,The Scarlet Letter (1926),Drama
141,0017423,Sparrows (1926),Drama
142,0017463,3 Bad Men (1926),Romance|Western
143,0017668,Berlin: Die Sinfonie der Grosstadt (1927),Documentary
144,0017729,Call of the Cuckoo (1927),Comedy|Short
145,0017739,The Cat and the Canary (1927),Comedy|Horror|Mystery
146,0017765,College (1927),Comedy|Drama|Sport
147,0017825,Downhill (1927),Adventure|Drama|Thriller
148,0017836,Duck Soup (1927),Comedy|Short
149,0017841,"East Side, West Side (1927)",Drama
150,0017843,Easy Virtue (1928),Romance|Thriller
151,0017925,The General (1926),Action|Adventure|Comedy|Drama|War|Western
152,0018033,It (1927),Comedy|Romance
153,0018037,The Jazz Singer (1927),Drama|Music|Musical|Romance
154,0018051,The Kid Brother (1927),Comedy|Drama|Family|Romance
155,0018106,Love 'Em and Weep (1927),Comedy|Short
156,0018192,Napoléon (1927),Biography|Drama|History|War
157,0018217,Oktyabr (1928),Drama|History
158,0018294,Putting Pants on Philip (1927),Comedy|Short
159,0018328,The Ring (1927),Drama|Romance|Sport
160,0018356,"Sailors, Beware! (1927)",Short|Comedy
161,0018368,The Second 100 Years (1927),Comedy|Short
162,0018452,Sugar Daddies (1927),Comedy|Short
163,0018455,Sunrise: A Song of Two Humans (1927),Drama|Romance
164,0018471,Tell It to the Marines (1926),Comedy|Drama|Romance
165,0018505,Tretya meshchanskaya (1927),Comedy|Drama
166,0018526,Underworld (1927),Crime|Drama|Film-Noir|Romance
167,0018528,The Unknown (1927),Drama|Horror|Romance|Thriller
168,0018578,Wings (1927),Drama|Romance|War|Action
169,0018583,With Love and Hisses (1927),Comedy|Short
170,0018684,Beggars of Life (1928),Adventure|Drama
171,0018737,Die Büchse der Pandora (1929),Crime|Drama|Romance
172,0018742,The Cameraman (1928),Comedy|Romance|Family|Drama
173,0018773,The Circus (1928),Comedy|Romance
174,0018806,The Crowd (1928),Drama|Romance
175,0018839,The Docks of New York (1928),Crime|Drama|Film-Noir|Romance
176,0018860,Early to Bed (1928),Comedy|Short
177,0018876,The Farmer's Wife (1928),Comedy|Drama|Romance
178,0018890,The Finishing Touch (1928),Comedy|Short
179,0019071,The Last Command (1928),Drama|History|Romance|War
180,0019074,"Laugh, Clown, Laugh (1928)",Drama
181,0019079,Leave 'Em Laughing (1928),Comedy|Short
182,0019109,Lonesome (1928),Comedy|Drama|Romance
183,0019130,The Man Who Laughs (1928),Drama|Horror|Mystery|Romance|Thriller
184,0019195,The Mysterious Lady (1928),Drama|Romance
185,0019254,La passion de Jeanne d'Arc (1928),Biography|Drama|History
186,0019286,Potomok Chingis-Khana (1928),Drama|War
187,0019344,Sadie Thompson (1928),Drama
188,0019376,Should Married Men Go Home? (1928),Comedy|Short
189,0019412,Speedy (1928),Action|Comedy|Family
190,0019421,"Steamboat Bill, Jr. (1928)",Action|Comedy|Drama|Family|Romance
191,0019422,Steamboat Willie (1928),Animation|Short|Comedy|Family|Musical
192,0019429,Street Angel (1928),Drama
193,0019465,Their Purple Moment (1928),Comedy|Short
194,0019504,Two Tars (1928),Comedy|Short
195,0019509,Underground (1928),Drama|Romance
196,0019556,We Faw Down (1928),Comedy|Short
197,0019585,The Wind (1928),Drama|Romance|Western
198,0019591,A Woman of Affairs (1928),Drama
199,0019607,You're Darn Tootin' (1928),Short|Comedy|Music
200,0019686,Berth Marks (1929),Short|Comedy
201,0019688,Big Business (1929),Short|Comedy|Family
202,0019702,Blackmail (1929),Crime|Thriller
203,0019729,The Broadway Melody (1929),Drama|Musical|Romance
204,0019760,Chelovek s kino-apparatom (1929),Documentary|Music
205,0019777,The Cocoanuts (1929),Comedy|Musical
206,0019796,Daigaku wa detakeredo (1929),Comedy
207,0019832,Double Whoopee (1929),Comedy|Short
208,0019838,Drifters (1929),Documentary
209,0019901,Frau im Mond (1929),Comedy|Drama|Romance|Sci-Fi
210,0019957,Half Marriage (1929),Drama|Romance
211,0019993,The Hollywood Revue of 1929 (1929),Musical
212,0019999,The Hoose-Gow (1929),Comedy|Short
213,0020030,The Iron Mask (1929),Adventure|Drama|History|Romance
214,0020112,The Love Parade (1929),Comedy|Musical|Romance
215,0020122,Lucky Star (1929),Drama|Romance
216,0020142,The Manxman (1929),Drama|Romance
217,0020161,Men O'War (1929),Short|Comedy|Family
218,0020163,Menschen am Sonntag (1930),Comedy|Drama|Romance
219,0020264,Perfect Day (1929),Short|Comedy
220,0020286,Prapancha Pash (1929),Adventure|Drama|Romance
221,0020471,Synthetic Sin (1929),Comedy
222,0020475,Tagebuch einer Verlorenen (1929),Drama
223,0020487,That's My Wife (1929),Comedy|Short
224,0020489,They Go Boom! (1929),Comedy|Short
225,0020514,The Trespasser (1929),Drama
226,0020530,Un chien andalou (1929),Short|Fantasy|Horror
227,0020531,Unaccustomed As We Are (1929),Comedy|Short
228,0020572,Welcome Danger (1929),Comedy
229,0020581,Where East Is East (1929),Drama|Romance
230,0020585,Why Be Good? (1929),Comedy|Drama|Romance
231,0020629,All Quiet on the Western Front (1930),Drama|War
232,0020640,Animal Crackers (1930),Comedy|Musical
233,0020641,Anna Christie (1930),Drama|Romance
234,0020643,Another Fine Mess (1930),Comedy|Short
235,0020678,Below Zero (1930),Short|Comedy
236,0020686,The Big House (1930),Crime|Drama|Thriller
237,0020693,Billy the Kid (1930),Biography|Drama|Western
238,0020697,Der blaue Engel (1930),Drama|Music
239,0020698,Blotto (1930),Short|Comedy
240,0020708,Brats (1930),Comedy|Short|Family
241,0020768,City Girl (1930),Drama|Romance
242,0020827,The Divorcee (1930),Romance|Drama
243,0020859,Escape! (1930),Crime|Drama
244,0020902,Free and Easy (1930),Comedy|Musical
245,0020927,The Golf Specialist (1930),Short|Comedy|Sport
246,0020960,Hell's Angels (1930),Drama|War
247,0020979,Hog Wild (1930),Short|Comedy
248,0020980,Hogaraka ni ayume (1930),Crime|Drama|Romance
249,0020987,Hook Line and Sinker (1930),Comedy|Romance
250,0021013,Journey's End (1930),Drama|War
251,0021054,The Laurel-Hardy Murder Case (1930),Short|Comedy|Crime|Mystery
252,0021079,Little Caesar (1931),Action|Crime|Drama|Romance
253,0021156,Morocco (1930),Drama|Romance
254,0021165,Murder! (1930),Crime|Mystery|Thriller
255,0021182,Night Owls (1930),Short|Comedy
256,0021283,Rakudai wa shitakeredo (1930),
257,0021331,Le sang d'un poète (1932),Fantasy
258,0021406,Sono yo no tsuma (1930),Crime|Drama
259,0021409,Sous les toits de Paris (1930),Comedy|Drama|Musical
260,0021542,Westfront 1918: Vier von der Infanterie (1930),Drama|Romance|War
261,0021571,Zemlya (1930),Drama
262,0021576,À propos de Nice (1930),Documentary|Short|Comedy
263,0021577,L'âge d'or (1930),Comedy|Drama
264,0021636,The Bad Sister (1931),Drama
265,0021646,Beau Hunks (1931),Short|Comedy
266,0021684,Born to Love (1931),Drama|Romance|War
267,0021738,Chickens Come Home- (1931),Short|Comedy
268,0021739,La chienne (1931),Crime|Drama
269,0021746,Cimarron (1931),Drama|Western
270,0021749,City Lights (1931),Comedy|Drama|Romance
271,0021750,City Streets (1931),Crime|Drama|Film-Noir|Romance
272,0021755,Come Clean (1931),Short|Comedy
273,0021785,Daughter of the Dragon (1931),Crime|Drama
274,0021814,Dracula (1931),Fantasy|Horror
275,0021861,Fighting Caravans (1931),Romance|Western
276,0021884,Frankenstein (1931),Drama|Horror|Sci-Fi
277,0021885,A Free Soul (1931),Crime|Drama|Romance
278,0021890,The Front Page (1931),Comedy
279,0022017,Kameradschaft (1931),Drama
280,0022047,The Lady Who Dared (1931),Drama
281,0022048,Shukujo to hige (1931),Comedy|Romance
282,0022058,Laughing Gravy (1931),Short|Comedy
283,0022080,Limite (1931),Drama|Romance
284,0022100,M (1931),Crime|Mystery|Thriller
285,0022105,Madamu to nyôbô (1931),Comedy|Drama
286,0022117,The Man in Possession (1931),Comedy
287,0022125,Marius (1931),Comedy|Drama|Romance
288,0022149,Millie (1931),Drama|Romance
289,0022150,Le million (1931),Musical|Comedy
290,0022158,Monkey Business (1931),Comedy|Musical
291,0022183,Mädchen in Uniform (1931),Drama|Romance
292,0022204,Niemandsland (1931),Drama|War
293,0022208,Night Nurse (1931),Comedy|Crime|Drama
294,0022251,Pardon Us (1931),Comedy|Crime|Drama|Musical
295,0022279,Private Lives (1931),Comedy|Drama|Romance
296,0022286,The Public Enemy (1931),Crime|Drama
297,0022335,Safe in Hell (1931),Crime|Drama
298,0022339,Santa (1932),Drama
299,0022395,The Skin Game (1931),Drama
300,0022397,Skippy (1931),Comedy|Drama|Family
301,0022403,Smart Money (1931),Crime|Drama
302,0022454,Svengali (1931),Drama|Horror|Romance|Sci-Fi
303,0022458,Tabu: A Story of the South Seas (1931),Drama|Romance|Adventure
304,0022462,"Taris, roi de l'eau (1931)",Documentary|Short|Sport
305,0022495,Trader Horn (1931),Action|Adventure|Drama|Romance
306,0022517,Under 18 (1931),Drama|Romance
307,0022599,À nous la liberté (1931),Comedy|Musical
308,0022628,The Animal Kingdom (1932),Comedy|Drama|Romance
309,0022630,Any Old Port! (1932),Short|Comedy
310,0022694,Das blaue Licht (1932),Drama|Fantasy|Mystery
311,0022718,Boudu sauvé des eaux (1932),Comedy
312,0022732,Buzzin' Around (1933),Short|Comedy
313,0022778,The Conquerors (1932),Drama|Western
314,0022782,County Hospital (1932),Short|Comedy
315,0022787,Les croix de bois (1932),Drama|War
316,0022792,The Crowd Roars (1932),Action|Drama|Sport
317,0022807,The Dentist (1932),Comedy|Short
318,0022817,The Devil's Cabaret (1930),Comedy|Musical|Short
319,0022834,Downstairs (1932),Drama|Romance
320,0022835,Dr. Jekyll and Mr. Hyde (1931),Horror|Sci-Fi
321,0022879,A Farewell to Arms (1932),Drama|Romance|War
322,0022883,The Fatal Glass of Beer (1933),Short|Comedy
323,0022913,Freaks (1932),Drama|Horror
324,0022958,Grand Hotel (1932),Drama|Romance
325,0022981,Haunted Gold (1932),Horror|Mystery|Western
326,0022991,Hell's House (1932),Drama
327,0022994,Helpmates (1932),Short|Comedy
328,0023027,Horse Feathers (1932),Comedy|Musical|Romance|Sport
329,0023037,Las Hurdes (1933),Documentary|Short
330,0023042,I Am a Fugitive from a Chain Gang (1932),Crime|Drama|Film-Noir
331,0023049,If I Had a Million (1932),Comedy|Drama
332,0023054,The Impassive Footman (1932),Crime|Drama
333,0023130,"Let Me Explain, Dear (1932)",Comedy
334,0023158,Love Me Tonight (1932),Comedy|Musical|Romance
335,0023194,The Mask of Fu Manchu (1932),Adventure|Horror|Sci-Fi
336,0023202,Me and My Gal (1932),Comedy|Drama|Romance
337,0023213,Merrily We Go to Hell (1932),Comedy|Drama|Romance
338,0023238,The Most Dangerous Game (1932),Action|Adventure|Thriller
339,0023245,The Mummy (1932),Fantasy|Horror
340,0023249,Murders in the Rue Morgue (1932),Crime|Horror|Mystery
341,0023251,The Music Box (1932),Comedy|Short
342,0023266,Night After Night (1932),Comedy|Drama
343,0023285,Number Seventeen (1932),Crime|Mystery|Thriller
344,0023293,The Old Dark House (1932),Comedy|Horror|Thriller
345,0023300,On the Loose (1931),Comedy|Short
346,0023302,Once in a Lifetime (1932),Comedy
347,0023303,One Hour with You (1932),Comedy|Musical|Romance
348,0023305,One Way Passage (1932),Comedy|Drama|Romance
349,0023312,Pack Up Your Troubles (1932),Comedy|War
350,0023327,Penguin Pool Murder (1932),Comedy|Drama|Mystery|Romance
351,0023333,The Phantom Express (1932),Mystery|Thriller
352,0023349,Polly of the Circus (1932),Comedy|Drama|Romance
353,0023362,The Purchase Price (1932),Drama|Comedy
354,0023369,Rain (1932),Drama
355,0023395,Rich and Strange (1931),Comedy|Romance|Thriller
356,0023427,Scarface (1932),Action|Crime|Drama|Film-Noir|Thriller
357,0023439,Scram! (1932),Comedy|Short
358,0023458,Shanghai Express (1932),Adventure|Drama|Romance|Thriller
359,0023563,Das Testament des Dr. Mabuse (1933),Crime
360,0023578,Their First Mistake (1932),Comedy|Short
361,0023583,The Thirteenth Guest (1932),Mystery|Thriller
362,0023590,Three on a Match (1932),Crime|Drama|Romance
363,0023613,Towed in a Hole (1932),Comedy|Short
364,0023622,Trouble in Paradise (1932),Comedy|Crime|Romance
365,0023634,Otona no miru ehon - Umarete wa mita keredo (1932),Comedy|Drama
366,0023640,Unheimliche Geschichten (1932),Comedy|Sci-Fi|Horror
367,0023642,Union Depot (1932),Comedy|Drama|Romance
368,0023649,Vampyr (1932),Fantasy|Horror
369,0023685,The Wet Parade (1932),Drama|History|Romance
370,0023686,What Price Hollywood? (1932),Drama
371,0023694,White Zombie (1932),Horror
372,0023753,Alice in Wonderland (1933),Adventure|Family|Fantasy
373,0023775,Baby Face (1933),Drama|Romance
374,0023785,Beauty for Sale (1933),Drama|Romance
375,0023814,The Bitter Tea of General Yen (1932),Drama|Romance|War
376,0023817,Blondie Johnson (1933),Crime|Drama
377,0023848,Broadway to Hollywood (1933),History|Musical
378,0023858,Busy Bodies (1933),Short|Comedy
379,0023876,Cavalcade (1933),Drama|Romance|War
380,0023902,El compadre Mendoza (1934),Drama|War
381,0023923,A Cuckoo in the Nest (1933),Comedy
382,0023926,Dancing Lady (1933),Comedy|Musical|Romance
383,0023937,Dekigokoro (1933),Drama
384,0023940,Design for Living (1933),Comedy|Romance
385,0023948,Dinner at Eight (1933),Comedy|Drama
386,0023950,Dirty Work (1933),Short|Comedy|Sci-Fi
387,0023960,Double Harness (1933),Comedy|Drama
388,0023969,Duck Soup (1933),Comedy|Musical|War
389,0024028,Footlight Parade (1933),Comedy|Musical|Romance
390,0024034,42nd Street (1933),Comedy|Musical|Romance
391,0024054,The Ghost Camera (1933),Comedy|Crime|Mystery
392,0024069,Gold Diggers of 1933 (1933),Comedy|Drama|Musical
393,0024083,Hallelujah I'm a Bum (1933),Comedy|Drama|Musical
394,0024092,Havana Widows (1933),Comedy
395,0024120,Hijôsen no onna (1933),Crime|Drama|Romance
396,0024124,His Private Secretary (1933),Comedy|Romance
397,0024166,I'm No Angel (1933),Comedy|Musical|Romance
398,0024183,International House (1933),Comedy
399,0024184,The Invisible Man (1933),Horror|Sci-Fi
400,0024188,Island of Lost Souls (1932),Horror|Sci-Fi
401,0024210,The Kennel Murder Case (1933),Crime|Mystery
402,0024216,King Kong (1933),Adventure|Horror|Sci-Fi
403,0024252,Liebelei (1933),Drama|Romance
404,0024264,Little Women (1933),Drama|Family|Romance
405,0024316,Me and My Pal (1933),Short|Comedy
406,0024335,The Midnight Patrol (1933),Short|Comedy
407,0024353,Morning Glory (1933),Drama|Romance
408,0024402,Okraina (1933),Drama|War
409,0024450,Picture Snatcher (1933),Drama|Crime
410,0024473,The Private Life of Henry VIII. (1933),Biography|Comedy|Drama|History|Romance
411,0024481,Queen Christina (1933),Biography|Drama|History|Romance
412,0024548,She Done Him Wrong (1933),Comedy|Drama|History|Musical|Romance
413,0024554,A Shriek in the Night (1933),Crime|Mystery|Romance|Thriller
414,0024601,Sons of the Desert (1933),Comedy
415,0024659,Those Were the Days (1934),Comedy
416,0024660,Three Little Pigs (1933),Animation|Short|Comedy|Family|Musical
417,0024706,Twice Two (1933),Comedy|Short
418,0024747,Waltzes from Vienna (1934),Biography|Music|Romance
419,0024803,Zéro de conduite: Jeunes diables au collège (1933),Short|Comedy|Drama
420,0024831,Anne of Green Gables (1934),Comedy|Drama|Family
421,0024844,L'Atalante (1934),Comedy|Drama|Romance
422,0024852,Babes in Toyland (1934),Comedy|Family|Fantasy|Musical
423,0024873,Belle of the Nineties (1934),Comedy|Drama|Musical
424,0024894,The Black Cat (1934),Adventure|Crime|Horror|Romance|Thriller
425,0024914,Bright Eyes (1934),Comedy|Drama|Family|Musical
426,0024933,Bulldog Jack (1935),Comedy|Crime|Mystery
427,0024989,The Clairvoyant (1934),Drama|Mystery|Romance
428,0025004,The Count of Monte Cristo (1934),Action|Adventure|Drama|History|Romance|Thriller
429,0025132,Forsaking All Others (1934),Comedy|Drama|Romance
430,0025164,The Gay Divorcee (1934),Comedy|Musical|Romance
431,0025187,Going Spanish (1934),Comedy|Musical|Short
432,0025263,Hollywood Party (1934),Animation|Comedy|Musical
433,0025272,The House of Rothschild (1934),Biography|Drama|History
434,0025290,I've Got Your Number (1934),Comedy|Romance
435,0025301,Imitation of Life (1934),Drama|Romance
436,0025316,It Happened One Night (1934),Comedy|Romance
437,0025318,It's a Gift (1934),Comedy
438,0025330,Jimmy the Gent (1934),Comedy|Crime|Drama|Romance
439,0025335,Judge Priest (1934),Comedy|Drama|Romance
440,0025373,The Lawless Frontier (1934),Romance|Western
441,0025409,The Little Minister (1934),Drama|Romance
442,0025413,The Live Ghost (1934),Short|Comedy
443,0025452,The Man Who Knew Too Much (1934),Crime|Mystery|Thriller
444,0025456,Man of Aran (1934),Documentary
445,0025461,Mandalay (1934),Drama|Romance
446,0025464,Manhattan Melodrama (1934),Crime|Drama|Romance
447,0025492,The Merry Frinks (1934),Comedy|Drama
448,0025494,Merry Wives of Reno (1934),Comedy
449,0025586,Of Human Bondage (1934),Drama|Romance
450,0025590,The Old Fashioned Way (1934),Comedy
451,0025591,Oliver the Eighth (1934),Short|Comedy
452,0025592,On demande une brute (1934),Short
453,0025641,Peculiar Penguins (1934),Animation|Short|Comedy
454,0025746,The Scarlet Empress (1934),Drama|History|Romance
455,0025759,The Secret of the Loch (1934),Adventure|Fantasy|Comedy
456,0025803,Smarty (1934),Comedy|Romance
457,0025862,Tarzan and His Mate (1934),Action|Adventure
458,0025873,Them Thar Hills (1934),Comedy|Short
459,0025878,The Thin Man (1934),Comedy|Crime|Mystery
460,0025905,Transatlantic Merry-Go-Round (1934),Comedy|Musical|Mystery
461,0025913,Triumph des Willens (1935),Documentary|History|War
462,0025919,Twentieth Century (1934),Comedy|Romance
463,0025929,Ukikusa monogatari (1934),Drama
464,0025948,Viva Villa! (1934),Biography|Western
465,0026029,The 39 Steps (1935),Mystery|Thriller
466,0026040,Aerograd (1935),Drama
467,0026123,The Black Room (1935),Crime|Horror
468,0026132,Boys Will Be Boys (1935),Comedy
469,0026138,Bride of Frankenstein (1935),Drama|Horror|Sci-Fi
470,0026174,Captain Blood (1935),Action|Adventure
471,0026202,Cheer Up (1936),Musical
472,0026221,Clive of India (1935),Action|Adventure|Biography
473,0026246,Crime and Punishment (1935),Crime|Drama
474,0026252,Curly Top (1935),Family|Musical|Romance
475,0026258,Dandy Dick (1935),Comedy
476,0026261,Dangerous (1935),Drama
477,0026266,"The Personal History, Adventures, Experience, &amp; Observation of David Copperfield the Younger (1935)",Adventure|Drama|Romance
478,0026276,The Devil Is a Woman (1935),Comedy|Drama|Romance
479,0026312,Emil and the Detectives (1935),Adventure|Family
480,0026362,The Fixer Uppers (1935),Short|Comedy
481,0026394,Gai dimanche! (1935),Short|Comedy
482,0026406,The Ghost Goes West (1935),Comedy|Fantasy|Horror|Romance
483,0026465,Here Comes Cookie (1935),Comedy|Music
484,0026529,The Informer (1935),Crime|Drama
485,0026549,Jinsei no onimotsu (1935),Comedy
486,0026614,Lawless Range (1935),Western
487,0026685,Mark of the Vampire (1935),Horror|Mystery
488,0026714,A Midsummer Night's Dream (1935),Comedy|Fantasy|Romance
489,0026721,Miss Pacific Fleet (1935),Comedy|Romance
490,0026743,"Maria Marten, or The Murder in the Red Barn (1935)",Crime|Drama
491,0026752,Mutiny on the Bounty (1935),Adventure|Biography|Drama|History|Romance
492,0026756,The Mystery Man (1935),Action|Adventure|Crime|Mystery|Romance
493,0026768,Naughty Marietta (1935),Drama|Musical|Romance
494,0026778,A Night at the Opera (1935),Comedy|Music|Musical
495,0026866,Peter Ibbetson (1935),Drama|Fantasy|Romance
496,0026868,The Phantom Light (1935),Mystery|Thriller
497,0026912,The Raven (1935),Crime|Horror
498,0026921,Remember Last Night? (1935),Comedy|Mystery
499,0026966,Sanders of the River (1935),Adventure|Drama|Music
